"id_citation1","study_id","citation_line"
"25","51","Lindén, H. & Rajala, P. (1981) Fluctuations and long-term trends in the relative densities of tetraonid populations in Finland, 1964-77. Finnish Game Research, 39, 13-34."
"26","52","""A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters"". NERC Centre for Population Biology, Imperial College, The Global Population Dynamics Database v2.0. Available at: http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012."
"27","52","Pulliainen, E. (1981) A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish Forest Lapland over 13 winters. Annales Zoologici Fennici, 18, 270–278."
"28","53","Grant, P. R. (1976) An 11-year study of small mammal populations at Mont St. Hilaire, Quebec. Canadian Journal of Zoology, 54, 2156–2173."
"29","53","Grant, P. R. (1976) ""An 11-year study of small mammal populations at Mont St. Hilaire, Quebec"". NERC Centre for Population Biology, Imperial College. The Global Population Dynamics Database v2.0. Available at: http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012."
"30","54","Willig, M. R. & Bloch, C. P. (2016) ""El Verde Grid long-term invertebrate data: Luquillo Long Term Ecological Research Site Database: Data Set 107"". Available at:http://luq.lternet.edu/data/luqmetadata107/7427, accessed 2016."
"32","57","NTL LTER ""NTLFI02 North Temperate Lakes LTER: Fish Abundance 1981 - current"". North Temperate Lakes Long Term Ecological Research program, NSF. Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-fish-abundance-1981-current, accessed 2012."
"33","58","Waide, R. B. (2010) “Bird abundance - point counts”. Long Term Ecological Research Network. Available at: http://dx.doi.org/10.6073/pasta/0d96957379936a038ebbbcc6135b2fab, accessed 2012."
"34","58","Waide, R. B. ""Bird abundance - point counts, El Verde Field Station, Puerto Rico: Luquillo Long Term Ecological Research Site Database: Data Set 23"". Available at: http:/luq.lternet.edu/data/luqmetadata23, accessed 2012."
"36","60","Condit, R., Lao, S., Pérez, R., Dolins, S.B., Foster, R. & Hubbell, S. (2012) Dataset: Barro Colorado Forest Census Plot Data (Version 2012)."
"37","60","Condit, R. (1998) Tropical forest census plots: Methods and results from Barro Colorado Island, Panama and a Comparison with other plot. Springer Verlag and RG Landes Company, Berlin,"
"38","60","Condit, R., Ashton, P., Bunyavejchewin, S., Dattaraja, H., Davies, S., Esufali, S., Ewango, C., Foster, R., Gunatilleke, I. & Gunatilleke, C. (2006) The importance of demographic niches to tree diversity. Science, 313, 98-101."
"39","60","Condit, R., Chisholm, R.A. & Hubbell, S.P. (2012) Thirty years of forest census at Barro Colorado and the importance of immigration in maintaining diversity. PloS one, 7, e49826."
"40","60","Hubbell, S. P., Condit, R. & Foster, R. B. (2005) ""Barro Colorado Forest Census Plot Data "". Available at: https://ctfs.arnarb.harvard.edu/webatlas/datasets/bci, accessed 2012."
"41","63","Moore, N. W. (1991) ""The development of dragonfly communities and the consequences of territorial behaviour: A 27-year study on small ponds at Woodwalton Fen, Cambridgeshire, United Kingdom"". NERC Centre for Population Biology, Imperial College. The Global Population Dynamics Database Version 2.0. Available at: http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012."
"42","63","Moore, N. (1991) The development of dragonfly communities and the consequences of territorial behaviour: A 27 year study on small ponds at Woodwalton Fen, Cambridgeshire, United Kingdom. Odonatologica, 20, 203–231."
"43","67","""Animal Demography Unit - Coordinated Waterbird Counts (CWAC) - AfrOBIS"". Available at http://www.iobis.org/, accessed 2012."
"44","68","""Marine and Coastal Management - Copepod Surveys - AfrOBIS"". Available at: http://www.iobis.org/, accessed 2012."
"45","69","Mitchell, P. I., Newton, S. F., Ratcliffe, N. & Dunn, T. E. Seabird 2000. Joint Nature Conservation Committee, Peterborough, UK. Available at: http://www.iobis.org/, accessed 2012."
"46","70","Vanholder, B. (1997) ""Belgian Migrating Lepidoptera"".  NERC Centre for Population Biology, Imperial College. The Global Population Dynamics Database v2.0. .  Available at: https://www.imperial.ac.uk/cpb/gpdd2/secure/register.aspx, accessed 2012."
"47","71","Ratkova, T. N. ""Phytoplankton of the White Sea, Barents Sea, Amundsen & Nansen Basins"". Institute of Oceanology, Academy of Sciences of Russia, Moscow, Russia; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"48","72","Kosobokova, K. ""White Sea Zooplankton"". Shirshov Institute of Oceanology, Moscow; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.iobis.org/mapper/?dataset=4488, accessed 2012."
"49","73","Scott, D.A. & English, T.S. ""Arctic copepod Zooplankton Ice Island T3"". Available at: http://www.arcodiv.org/Database/Data_overview.html, accessed 2012."
"50","73","Scott, D.A. & English, T.S. (1969) Copepoda collected from Fletcher's Ice Island (T-3) in the Canadian Basin of the Arctic Ocean. Technical Report No. 240, Reference M69-62. University of Washington and Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks."
"51","74","Pautzke, C.G. ""Arctic Copepods T3 & AIDJEX Ice Islands"". .  Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"52","74","Pautzke, C.G. ""Copepoda collected from the Canada Basin Arctic Ocean; Fletcher's Ice Island (T-3) 1970-1972 and AIDJEX, 1975"". Phytoplankton Primary Production Below Arctic Ocean Pack Ice: An Ecosystems Analysis. PhD Thesis University of Washington; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks., Accessed 2012."
"53","75","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP1 Zooplankton - NOGAP B1, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1984-1985"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"54","75","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP2 Zooplankton - NOGAP B2, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1987-1988"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"55","75","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP3 Zooplankton - NOGAP B3, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1986"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"56","76","Rees, H., Pendle, M., Waldock, R., Limpenny, D. & Boyd, S. (1999) ""A comparison of benthic biodiversity in the North Sea, English Channel and Celtic Seas - Epifauna"". Centre for Environment, Fisheries and Aquaculture Science; Burnham Laboratory, UK. Available at: http://www.iobis.org/mapper/?dataset=51, accessed 2012."
"57","76","Rees, H., Pendle, M., Waldock, R., Limpenny, D. & Boyd, S. (1999) A comparison of benthic biodiversity in the North Sea, English Channel, and Celtic Seas. ICES Journal of Marine Science, 56, 228-246."
"58","77","""MEDITS seabird surveys 1999 / 2000 / 2002"" (2011). Mediterranean Institute for Advanced Studies (IMEDEA) In: OBIS-SEAMAP. Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1979, accessed 2012."
"59","77","Louzao, M., Hyrenbach, K.D., Arcos, J.M., Abelló, P., Sola, L.G. & Oro, D. (2006) Oceanographic habitat of an endangered Mediterranean procellariiform: implications for marine protected areas. Ecological Applications, 16, 1683–1695."
"60","78","Zettler, M.L. (2005) Macrozoobenthos baltic sea (1980-2005) as part of the IOW-Monitoring. Institut für Ostseeforschung Warnemünde, Germany. Available at: http://www.iobis.org/mapper/?dataset=2289, accessed 2012."
"61","81","Robinson, K.P., Baumgartner, N., Eisfeld, S.M., Clark, N.M., Culloch, R.M., Haskins, G.N., Zapponi, L., Whaley, A.R., Weare, J.S. & Tetley, M.J. (2007) The summer distribution and occurrence of cetaceans in the coastal waters of the outer southern Moray Firth in northeast Scotland (UK). Lutra, 50, 19."
"62","81","Robinson, K. P.(2010) ""CRRU (Cetacean Research and Rescue Unit) Cetacean sightings in Scotland waters"". Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2819, accessed 2012."
"63","84","Milchakova, N. A., Ryabogina, V. G. & Chernyshova, E. B. (2011) ""Macroalgae of the Crimean coastal zone (the Black Sea, 1967-2007)"". Sevastopol, IBSS. Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2690, accessed 2012."
"64","85","Addinck, W. & de Kluijver, M. (2003) North Sea observations of Crustacea, Polychaeta, Echinodermata, Mollusca and some other groups between 1986 and 2003. Expert Centre for Taxonomic Idenditification (ETI), the Netherlands.  Available at: http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=1037, accessed 2012."
"65","86","Derezuyk, N. ""Phytoplankton of the Ukrainian Black Sea shelf (1985-2005)"". Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2694, accessed 2012."
"66","87","Bakker, C., Herman, P.M.J. & Vink, M. (1990) Changes in seasonal succession of phytoplankton induced by the storm-surge barrier in the Oosterschelde (S.W. Netherlands). Journal of Plankton Research, 12, 947-972."
"67","87","Bakker, C. & Herman, P.M.J. (1990) Phytoplankton in the Oosterschelde before, during and after the storm-surge barrier (1982-1990). Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. EurOBIS Data.  Available at: http://www.iobis.org/mapper/?dataset=505, accessed 2013."
"68","87","Bakker, C., Herman, P. & Vink, M. (1994) A new trend in the development of the phytoplankton in the Oosterschelde (SW Netherlands) during and after the construction of a storm-surge barrier. The Oosterschelde Estuary (The Netherlands): a Case-Study of a Changing Ecosystem, pp. 79-100. Springer."
"69","90","""Zooplankton in the Bay of Biscay (1995-2004, yearly DEPM surveys)"". Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2774, accessed 2012."
"70","91","""Baltic Seabirds Transect Surveys"", Institute of Ecology of Vilnius University - OBIS-SEAMAP. Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=1971, accessed 2012."
"71","92","Naumov, A. ""Benthos of the White Sea. A database"". White Sea Biological Station, Zoological Institute RAS. Available at: http://www.emodnet-biology.eu/component/imis/?module=dataset&dasid=2769, accessed 2012."
"72","96","Hirche, H.-J., Kosobokova, K., Gaye-Haake, B., Harms, I., Meon, B. & Nöthig, E.-M. (2006) Structure and function of contemporary food webs on Arctic shelves: A panarctic comparison: The pelagic system of the Kara Sea–Communities and components of carbon flow. Originator: B. Meon and E.-M. Nöthig. Available at: http://www.iobis.org/mapper/?dataset=4396, accessed 2012."
"73","96","Hirche, H.-J., Kosobokova, K., Gaye-Haake, B., Harms, I., Meon, B. & Nöthig, E.-M. (2006) Structure and function of contemporary food webs on Arctic shelves: A panarctic comparison: The pelagic system of the Kara Sea–Communities and components of carbon flow. Progress in Oceanography, 71, 288-313."
"74","97","Markhaseva, E.L., Golikov, A.A., Agapova, T.A. & Beig, A.A. (1985) Archives of the Arctic Seas Zooplankton. Available at: http://www.iobis.org/mapper/?dataset=4470, accessed 2012."
"75","98","Wacasey, J., Atkinson, E., Derick, L. & Weinstein, A. ""Zoobenthos data from the southern Beaufort Sea"". Available at: http://www.iobis.org/mapper/?dataset=4461, accessed 2012."
"76","98","Wacasey, J., Atkinson, E., Derick, L. & Weinstein, A. (1977) Zoobenthos data from the southern Beaufort Sea. Fisheries and Environment Canada. Fisheries and Marine Service Data report 41, Arctic Biological Station fisheries and Marine Service Department of Fisheries and the Environment; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks."
"77","99","""CSIRO Marine Data Warehouse - OBIS Australia"", CSIRO Division of Marine and Atmospheric Research (CMAR), Australia. Available at http://www.iobis.org, accessed 2012."
"84","108","Woehler, E. ""Seabirds of the Southern and South Indian Ocean - Australian Antarctic Data Centre"". Available at: http://www.iobis.org, accessed 2012."
"85","110","Ostler, R. ""Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC - EurOBIS"". Joint Nature Conservation Committee, Centre for Ecology and hydrology, Aberdeenshire, UK. Available at: http://www.emodnet-biology.eu/data-catalog/??module=dataset&dasid=621, accessed 2012."
"86","112","""South Western Pacific Regional OBIS Data Asteroid Subset"", NIWA (National Institute of Water and Atmospheric Research - New Zealand) MBIS (Marine Biodata Information System) accessed through South Western Pacific OBIS. Available at: http://www.iobis.org/mapper/?dataset=219, accessed 2012."
"87","113","Pugh, P. Discovery Collections Midwater Database. National Oceanography Centre, Southampton, UK. Available at: http://www.iobis.org/mapper/?dataset=12, accessed 2012."
"88","117","""South TX Outer Continental Shelf and MI, AL, and FL Outer Continental Shelf benthic organism sampling 1974-1978"". US National Oceanographic Data Center, Silver Spring, Maryland, USA (2011). Available at http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012."
"89","119","Clark, D. & Branton, B. (2007) DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada,"
"90","120","""CRED REA Algal Quadrate Images in the Pacific Ocean 2002-2008"". (2011) Coral Reef Ecosystem Division (CRED), Pacific Island Fisheries Sciences Center, National Marine Fisheries Service. Available at: http://www.iobis.org/mapper/?dataset=1577, accessed 2012."
"91","121","""CRED Towed-Diver Fish Biomass Surveys in the Pacific Ocean 2000-2010"". (2011) Coral Reef Ecosystem Division (CRED), Pacific Island Fisheries Sciences Center, National Marine Fisheries Service. Available at: http://www.iobis.org/mapper/?dataset=1581, accessed 2012."
"92","122","""CRED Rapid Ecological Assessments of Coral Population in the Pacific Ocean 2007-2010"". (2011) Coral Reef Ecosystem Division (CRED), Pacific Island Fisheries Sciences Center, National Marine Fisheries Service. Available at: http://www.iobis.org/mapper/?dataset=1578, accessed 2012."
"93","123","Sherman, S. (2010) ""Maine Department of Marine Resources Inshore Trawl Survey, 2000 – 2009"". Maine Department of Marine Resources, Maine. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/datasets.html, accessed 2012."
"94","124","Sumner, F. B., Osborn, R. C., Cole, L. J. & Davis, B. M. ""A biological survey of the waters of Woods Hole and vicinity"". Available at: http://www.iobis.org, accessed 2012."
"95","124","Sumner, F. B., Osborn, R. C., Cole, L. J. & Davis, B. M. (1911) A biological survey of the waters of Woods Hole and vicinity. Bulletin of the U.S. Bureau of Fisheries, 31, 1."
"96","125","Reichert, M. (2009) ""MARMAP Chevron Trap Survey 1990-2009"". SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate Data Surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources U.S.A.. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012."
"97","126","Reichert, M. (2010) ""MARMAP Neuston Nets 1990-2009”. SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate data surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources U.S.A.. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012."
"98","127","Reichert, M. (2009) ""MARMAP Florida Antillean Trap Survey 1990-2009”. SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate Data Surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources U.S.A.. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012."
"99","128","Madin, L. & Horgan, E. (2006) Zooplankton Sampled with 10m2MOCNESS Net in Georges Bank 1995-1999. Woods Hole Oceanographic Institution, USA: U.S. GLOBEC Data Management Office. Available at: http://www.iobis.org/mapper/?dataset=2339, accessed 2012."
"100","129","Sackett, W. & University of Texas. University of Texas - Austin; Marine Science Institute (2011). Benthic organism data from the South Texas Outer Continental Shelf (STOCS) and the Mississippi, Alabama, and Florida (MAFLA) Outer Continental Shelf studies from 16 May 1974 to 20 February 1978 (NODC Accession 8500179). Version 2.2. National Oceanographic Data Center, NOAA, accessed 2012."
"101","133","Björnberg, T. (1963) On the marine free-living copepods off Brazil. Boletim do Instituto oceanogràfico, 13, 03-142."
"102","133","Silveira, F. L. & Lopes, R. M. (2008) ""On the Marine Free-Living Copepods off Brazil -WSAOBIS"". Western South Atlantic OBIS, São Paulo. Available at: http://www.iobis.org, accessed 2012."
"103","135","""Previous_fisheries_REVIZEE_Program"", accessed through Tropical and Subtropical Western South Pacific OBIS. Available at: http://www.iobis.org/mapper/?dataset=2411, accessed 2012."
"104","142","""REVIZEE South Score / Pelagic and Demersal Fish Database II"". Available at: http://www.iobis.org/mapper/?dataset=105, accessed 2012."
"105","142","Bernardes, R.Á. (2005) Peixes da Zona Econômica Exclusiva da região sudeste-sul do Brasil: levantamento com armadilhas, pargueiras e rede de arrasto de fundo. Edusp."
"106","142","Bernardes, R.A., Rodrigues, A.R., Rossi-Wongtschowski, C.L., dos Santos, A.P., Vieira, R.C. & Wahrlich, R. (2005) Prospecção pesqueira de recursos demersais com armadilhas e pargueiras na Zona Econômica Exclusiva da Região Sudeste-Sul do Brasil. Instituto Oceanográfico."
"107","143","Escribano, R., Manríquez, K. & Godoy, F. (2006) ""Copepoda-COPAS Center (COPAS_CPD1) - Planktonic copepods from the Chilean Humboldt Current System - Eastern South Pacific Regional Node of OBIS (ESPOBIS)"". Available at: http://www.iobis.org, accessed 2012."
"108","143","Hidalgo, P., Escribano, R., Vergara, O., Jorquera, E., Donoso, K. & Mendoza, P. (2010) Patterns of copepod diversity in the Chilean coastal upwelling system. Deep Sea Research Part II: Topical Studies in Oceanography, 57, 2089–2097."
"109","147","""South Western Pacific Regional OBIS Data Bryozoan Subset"". Accessed through South Western Pacific OBIS. Available at: http://www.iobis.org/mapper/?dataset=221, accessed 2012."
"110","148","""South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System"". Ocean Biogeographic Information System. Occurrence Dataset. Available at: https://doi.org/10.15468/zuuiyu, accessed 2012."
"111","150","Danis, B., Van de Putte, A., Youdjou, N. & Segers, H. (Editors) “The Antarctic Biodiversity Information Facility”. Available at: http://www.biodiversity.aq, accessed 2013."
"112","150","Sicinski, J. & Bamber, R. (2008) ""Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida"". Available at: http://www.scarmarbin.be, accessed 2012."
"113","150","Sicinski, J. & Blazewicz-Paszkowycz, M. (2008) ""Admiralty Bay Benthos Diversity Data Base (ABBED). Cumacea"". Available at: site http://www.scarmarbin.be, accessed 2012."
"114","150","Sicinski, J. & Blazewicz-Paszkowycz, M. (2008) ""Admiralty Bay Benthos Diversity Data Base (ABBED). Tanaidacea"". Available at: http://www.scarmarbin.be, accessed 2012."
"115","152","""CMarZ (Census of Marine Zooplankton)-Asia Database"". Accessed through OBIS- SCAR-MarBIN. Available at: http://www.iobis.org/mapper/?dataset=1500, accessed 2012."
"116","162","""EPA'S EMAP Database"". U.S. Environmental Protection Agency through its Environmental Monitoring and Assessment Program (EMAP).  Available at: http://www.iobis.org, accessed 2012. Also available at https://archive.epa.gov/emap/archive-emap/web/html/index-21.html"
"117","163","""The Observer Program database"", accessed through the OBIS-USA North Pacific Groundfish Observer (North Pacific Research Board). Available at: http://www.iobis.org, accessed 2012."
"118","164","Ruiz, G.M., Fofonoff, P.W., Steves, B., Huber, T., Larson, K., McCann, L., Hitchcock, N.G., Hines, A.H. & Carlton, J.T. (2005) North American Sessile Marine Invertebrate Survey. Available at: http://www.iobis.org/mapper/?dataset=106, accessed 2012."
"119","166","""PIROP Northwest Atlantic 1965-1992 - OBIS SEAMAP"". Available at: http://www.iobis.org/mapper/?dataset=2245, accessed 2012."
"120","166","Brown, R.G., Nettleship, D.N., Germain, P., Tull, C.E. & Davis, T. (1975) Atlas of eastern Canadian seabirds."
"121","166","Diamond, A., Gaston, A. & Brown, R. (1986) Converting PIROP Counts of Seabirds at Sea to Absolute Densities. Progress Notes No 164. Canadian Wildlife Service, Ottawa,"
"122","166","Halpin, P.N., Read, A.J., Fujioka, E., Best, B.D., Donnelly, B., Hazen, L.J., Kot, C., Urian, K., LaBrecque, E. & Dimatteo, A. (2009) OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography, 22, 104-115."
"123","166","Huettmann, F. (1998) An ecological GIS research application for the northern Atlantic-The PIROP database software, environmental data sets and the role of the internet. In: Riekert W.-F. and Tochtermann K. (Eds.) Hypermedia im Umweltschutz Proceedings of Deutsche Gesellschaft für Informatik (GI) and Forschungsinstitut für anwendungsorientierte Wissensverarbeitung (FAW) Ulm. Umwelt-Informatik aktuell; Bd.17, Metropolis Verlag/Marburg. pp. 213-217"
"124","166","Read, A., Halpin, P., Crowder, L., Best, B. & Fujioka, E. (2010) OBIS-SEAMAP: mapping marine mammals, birds and turtles. World Wide Web electronic publication. http://seamap. env. duke. Edu"
"125","169","Jahncke, J. & Rintoul, C. (2006) ""CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006"". California Cooperative Oceanic Fisheries Investigations (CalCOFI) and National Marine Fisheries Service (NMFS) cruises, 1987-2006 - OBIS SEAMAP. Available at: http://www.iobis.org, accessed 2012."
"126","169","Rintoul, C., Schlagenhauf-Langabeer, B., Hyrenbach, K. D., Morgan, K. H. & Sydeman, W. J. (2006) Atlas of California Current Marine Birds and Mammals: Version 1. Unpublished report, PRBO Conservation Science, Petaluma, California."
"127","169","Yen, P. P. W., Sydeman, W. J. & Hyrenbach, K. D. (2004) Marine bird and cetacean associations with bathymetric habitats and shallow-water topographies: Implications for trophic transfer and conservation. Journal of Marine Systems, 50, 79–99."
"128","169","Yen, P. P. W., Sydeman, W. J., Bograd, S. J. & Hyrenbach, K. D. (2006) Spring-time distributions of migratory marine birds in the southern California Current: Oceanic eddy associations and coastal habitat hotspots over 17 years. Deep-Sea Research Part II: Topical Studies in Oceanography, 53, 399–418."
"129","171","""Bahamas Marine Mammal Research Organisation Opportunistic Sightings - OBIS SEAMAP"". Available at: http://www.iobis.org, accessed 2012."
"130","172","""POPA cetacean, seabird, and sea turtle sightings in the Azores area 1998-2009 - OBIS SEAMAP"". Available at: http://www.iobis.org/mapper/?dataset=4257, accessed 2012."
"131","172","Amorim, P., Figueiredo, M., Machete, M., Morato, T., Martins, A. & Serrão Santos, R. (2008) Spatial variability of seabird distribution associated with environmental factors: a case study of marine Important Bird Areas in the Azores. ICES Journal of Marine Science, 66, 29-40."
"132","172","Machete, M. & Santos, R. (2007) Azores Fisheries Observer Program (POPA): a case study of the multidisciplinary use of observer data. Proceedings of the 5th International Fisheries Observer Conference, pp. 15-18."
"133","172","Morato, T., Varkey, D.A., Damaso, C., Machete, M., Santos, M., Prieto, R., Santos, R.S. & Pitcher, T.J. (2008) Evidence of a seamount effect on aggregating visitors. Marine Ecology Progress Series, 357, 23-32."
"134","173","""Marine Biological Sample Database, JAMSTEC"" (OBIS_JAPAN). Available at: http://www.iobis.org/mapper/?dataset=2289, accessed 2012."
"135","176","Kennedy, M. & Spry, J. (2011) Atlantic Zone Monitoring Program Maritimes Region plankton datasets. Fisheries and Oceans Canada-BioChem archive. OBIS Canada, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada."
"136","178","Boutillier, J.A. (2007) ""Pacific Shrimp Trawl Survey"". In: ShrimpTrawl Bio database, Fisheries and Oceans Canada PBS Shellfish Data Unit. OBIS Canada Digital Collections, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada.  Available at: http://www.iobis.org, accessed 2012."
"137","180","""East Coast North America Strategic Assessment Project, Groundfish Atlas for the East Coast of North America"". Available at: http://www.iobis.org, accessed 2012."
"138","182","Wade, E. (2011) Snow crab research trawl survey database (Southern Gulf of St. Lawrence, Gulf region, Canada) from 1988 to 2010. OBIS Canada, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada,"
"139","183","Tremblay, J.M. & Branton, B. (2007) DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada."
"140","184","Siferd, T. (2010) Central and Arctic Multi-Species Stock Assessment Surveys. OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (OBIS Canada). Available at: http://www.iobis.org/mapper/?dataset=2293, accessed 2012."
"141","186","""Great Barrier Reef Seabed Biodiversity Study 2003-2006"" (CMAR_ANACC), accessed through OBIS-Australia. Available at http://www.iobis.org, accessed 2012."
"142","187","""National Benthic Infaunal Database (NBID)"" (2003). NOAA/NOS/NCCOS/CCEHBR/Coastal Ecology Program. NOAA's Ocean Service, National Centers for Coastal Ocean Science (NCCOS). Available at: https://data.noaa.gov/dataset/national-benthic-infaunal-database-nbid, accessed 2012."
"143","189","""St. John, USVI Fish Assessment and Monitoring Data (2002 - Present)"", (2007) Silver Spring, MD Publisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team. Available at: http://www.iobis.org/mapper/?dataset=1672, accessed 2012."
