Ref	Date	Time	CONTROL	TOTAL	BULLS	CALVES	Notes	Latitude	Longitude
400	2009/03/20	14:18:34	 Mtn zebra	3				-32.214308	22.495878
401	2009/03/20	14:19:20	 Mtn zebra	5		2		-32.202863	22.508332
402	2009/03/20	14:27:31	Red Hartebeest	2				-32.336010	22.568762
403	2009/03/20	14:27:54	Ostrich	4				-32.334692	22.562630
404	2009/03/20	14:28:20	Springbok	1				-32.326553	22.569947
405	2009/03/20	14:28:28	Springbok	1				-32.324332	22.572413
406	2009/03/20	14:29:22	Ostrich	8		3		-32.324633	22.565383
407	2009/03/20	14:29:26	Springbok	2				-32.325957	22.563960
408	2009/03/20	14:29:31	 Mtn zebra	2				-32.327268	22.562507
409	2009/03/20	14:29:38	Burchells zebra	2		1		-32.329025	22.560482
410	2009/03/20	14:29:43	Red Hartebeest	1				-32.330278	22.559158
411	2009/03/20	14:30:02	Ostrich	36				-32.328173	22.555913
412	2009/03/20	14:30:10	Ostrich	16				-32.326875	22.557320
413	2009/03/20	14:30:15	Red Hartebeest	1				-32.326878	22.558752
414	2009/03/20	14:31:42	Springbok	1				-32.332575	22.545405
415	2009/03/20	14:31:48	 Mtn zebra	4				-32.331017	22.547280
416	2009/03/20	14:32:25	Kudu	1	1			-32.320533	22.559333
417	2009/03/20	14:32:46	Springbok	7				-32.314950	22.565738
418	2009/03/20	14:33:31	 Mtn zebra	2				-32.307750	22.564677
419	2009/03/20	14:33:38	Springbok	15				-32.309527	22.562832
420	2009/03/20	14:35:01	Red Hartebeest	1	1			-32.328967	22.542513
421	2009/03/20	14:35:08	 Mtn zebra	9				-32.330813	22.540712
422	2009/03/20	14:35:19	Springbok	1				-32.333453	22.538207
423	2009/03/20	14:37:34	Springbok	1				-32.321288	22.539358
424	2009/03/20	14:38:14	Grey rhebok	4				-32.310632	22.550768
425	2009/03/20	14:41:56	Eland	1	1			-32.309742	22.534110
426	2009/03/20	14:42:04	Springbok	8				-32.307733	22.536788
427	2009/03/20	14:42:09	Springbok	5				-32.306425	22.538410
428	2009/03/20	14:44:52	Gemsbok	10				-32.288172	22.542853
429	2009/03/20	14:44:57	Kudu	1				-32.287648	22.541097
430	2009/03/20	14:45:26	Gemsbok	1				-32.294295	22.539545
431	2009/03/20	14:47:25	 Mtn zebra	5		1		-32.333470	22.523755
432	2009/03/20	14:49:34	Klipspringer	2				-32.338617	22.496860
433	2009/03/20	14:49:47	Klipspringer	3				-32.340987	22.493312
434	2009/03/20	14:50:10	Klipspringer	2				-32.347350	22.497182
435	2009/03/20	14:50:59	Red Hartebeest	1				-32.353435	22.506712
436	2009/03/20	14:51:04	 Mtn zebra	1				-32.354898	22.507477
437	2009/03/20	14:51:10	Kudu	5		1		-32.356512	22.508705
438	2009/03/20	14:51:15	Springbok	2				-32.357835	22.509743
439	2009/03/20	14:51:20	Grey rhebok	5				-32.359153	22.509677
440	2009/03/20	14:56:41	Kudu	3				-32.360485	22.506083
441	2009/03/20	14:59:28	Kudu	3				-32.346180	22.512903
442	2009/03/20	15:02:42	Kudu	4				-32.364440	22.489705
443	2009/03/20	15:02:51	Kudu	1				-32.367460	22.489905
444	2009/03/20	15:02:58	Kudu	1				-32.370207	22.489862
445	2009/03/20	15:03:11	Kudu	2	2			-32.374465	22.489393
446	2009/03/20	15:03:21	Springbok	1				-32.377747	22.489432
447	2009/03/20	15:04:08	Springbok	2				-32.375297	22.495595
448	2009/03/20	15:04:50	Springbok	13				-32.375242	22.491417
449	2009/03/20	15:07:50	Springbok	1				-32.366693	22.521845
450	2009/03/20	15:51:46	Klipspringer	2				-32.346920	22.462447
451	2009/03/20	15:55:23	Klipspringer	2				-32.307245	22.408588
452	2009/03/20	15:56:29	Kudu	1	1			-32.320400	22.418367
453	2009/03/20	15:57:33	Kudu	1	1			-32.334533	22.438820
454	2009/03/20	15:57:37	Kudu	1	1			-32.335687	22.440035
455	2009/03/20	15:58:19	Kudu	1	1			-32.344192	22.455130
456	2009/03/20	16:01:51	Red Hartebeest	1				-32.323952	22.449418
457	2009/03/20	16:02:52	Kudu	7				-32.333127	22.468002
458	2009/03/20	16:03:07	Kudu	2				-32.334508	22.473878
459	2009/03/20	16:03:12	Kudu	5				-32.335247	22.475722
460	2009/03/20	16:03:38	Springbok	8				-32.341143	22.482503
461	2009/03/20	16:04:06	Springbok	1				-32.350943	22.484028
462	2009/03/20	16:06:56	 Mtn zebra	1				-32.333637	22.427065
463	2009/03/20	16:07:56	Klipspringer	2				-32.328737	22.417887
464	2009/03/20	16:08:04	Baboon	2				-32.326648	22.416640
465	2009/03/20	16:08:51	Klipspringer	2				-32.315668	22.405235
466	2009/03/20	16:10:35	Kudu	1	1			-32.305000	22.406492
467	2009/03/20	16:11:06	Gemsbok	13				-32.303432	22.407675
468	2009/03/20	16:11:10	Klipspringer	1				-32.303312	22.406108
469	2009/03/20	16:12:48	Kudu	2	2			-32.310267	22.396442
470	2009/03/20	16:14:24	Kudu	9	4			-32.328220	22.411425
471	2009/03/20	16:14:34	Red Hartebeest	1				-32.329563	22.414520
472	2009/03/20	16:14:58	Baboon	3				-32.331453	22.424642
473	2009/03/20	16:15:04	Kudu	4				-32.332118	22.426712
474	2009/03/20	16:15:10	Kudu	2				-32.333288	22.428652
475	2009/03/20	16:16:00	 Mtn zebra	3				-32.345168	22.444653
476	2009/03/20	16:18:30	 Mtn zebra	2				-32.331740	22.443933
477	2009/03/20	16:18:57	 Mtn zebra	6				-32.322552	22.436005
478	2009/03/20	16:19:02	Ostrich	2				-32.320458	22.436937
479	2009/03/20	16:19:07	 Mtn zebra	3				-32.319917	22.439200
480	2009/03/20	16:19:14	Eland	2	2			-32.321115	22.441607
481	2009/03/20	16:19:23	Red Hartebeest	1				-32.324358	22.444022
482	2009/03/20	16:19:32	 Mtn zebra	1				-32.327222	22.446487
483	2009/03/20	16:19:51	Kudu	2				-32.332218	22.452653
484	2009/03/20	16:22:56	Gemsbok	1				-32.307170	22.418282
485	2009/03/20	16:23:01	 Mtn zebra	2				-32.305832	22.419708
486	2009/03/20	16:23:06	Gemsbok	11				-32.304822	22.421845
487	2009/03/20	16:23:12	Red Hartebeest	3				-32.305255	22.425205
488	2009/03/20	16:23:31	Red Hartebeest	3				-32.312207	22.426937
489	2009/03/20	16:23:35	Kudu	3				-32.313520	22.426450
490	2009/03/20	16:24:01	Red Hartebeest	1				-32.314065	22.420497
491	2009/03/20	16:25:52	Gemsbok	1				-32.287003	22.392378
492	2009/03/20	16:28:53	Black Rhino		1			-32.273748	22.403302
493	2009/03/20	16:30:59	Gemsbok	14				-32.299685	22.414758
494	2009/03/20	16:32:55	Baboon	50				-32.270520	22.377078
495	2009/03/20	16:33:36	Gemsbok	1				-32.285523	22.386845
496	2009/03/20	16:35:54	 Mtn zebra	5		2		-32.285685	22.421247
497	2009/03/20	16:36:03	Red Hartebeest	1				-32.284745	22.424558
498	2009/03/20	16:36:07	Red Hartebeest	1				-32.283560	22.425413
499	2009/03/20	16:36:14	Kudu	2				-32.281838	22.426253
500	2009/03/20	16:36:19	Klipspringer	2				-32.281595	22.427667
501	2009/03/20	16:36:24	Grey rhebok	2				-32.281990	22.429123
502	2009/03/20	16:36:28	Gemsbok	1				-32.282053	22.430280
503	2009/03/20	16:37:19	 Mtn zebra	4		1		-32.278712	22.443908
504	2009/03/20	16:37:35	Baboon	10				-32.281272	22.448218
505	2009/03/20	16:38:57	Klipspringer	2				-32.274525	22.453220
506	2009/03/20	16:39:10	Grey rhebok	2				-32.275670	22.458027
507	2009/03/20	16:40:39	Kudu	3				-32.277338	22.441050
508	2009/03/20	16:40:56	Kudu	2				-32.278773	22.435850
509	2009/03/20	16:41:11	Klipspringer	3				-32.279668	22.431330
510	2009/03/20	16:41:29	Baboon	10				-32.280233	22.426327
511	2009/03/20	16:41:34	 Mtn zebra	3				-32.280248	22.424403
512	2009/03/20	16:42:15	 Mtn zebra	5		1		-32.288597	22.414537
513	2009/03/21	08:28:11	Black Rhino	1				-32.303853	22.173083
514	2009/03/21	08:30:03	Springbok	13				-32.296860	22.144982
515	2009/03/21	08:32:01	Red Hartebeest	1	1			-32.288933	22.135487
516	2009/03/21	08:32:55	Springbok	2				-32.295022	22.160377
517	2009/03/21	08:33:12	Springbok	1				-32.296662	22.168520
518	2009/03/21	08:33:26	Kudu	4	1			-32.293645	22.172175
519	2009/03/21	08:33:54	 Mtn zebra	2				-32.289132	22.158708
520	2009/03/21	08:33:58	Red Hartebeest	1				-32.288882	22.156802
521	2009/03/21	08:34:03	Springbok	1				-32.288448	22.154323
522	2009/03/21	08:34:19	Gemsbok	7				-32.286935	22.146173
523	2009/03/21	08:34:26	Baboon	10				-32.286258	22.143163
524	2009/03/21	08:34:47	Kudu	2				-32.283945	22.132532
525	2009/03/21	08:34:59	Springbok	7				-32.282543	22.125775
526	2009/03/21	08:35:27	Springbok	1				-32.275543	22.117598
527	2009/03/21	08:35:57	Red Hartebeest	1				-32.277335	22.131662
528	2009/03/21	08:37:07	Kudu	2		1		-32.277570	22.162258
529	2009/03/21	08:37:52	Black Rhino	1	1			-32.283355	22.164837
530	2009/03/21	08:39:34	Baboon	1				-32.271252	22.158015
531	2009/03/21	08:39:49	Springbok	1				-32.265158	22.154223
532	2009/03/21	08:40:18	Baboon	15				-32.254177	22.145053
533	2009/03/21	08:40:22	Gemsbok	1				-32.252562	22.143750
534	2009/03/21	08:40:28	Red Hartebeest	2				-32.250527	22.142148
535	2009/03/21	08:42:03	Red Hartebeest	1				-32.238845	22.143402
536	2009/03/21	08:42:31	Kudu	1				-32.245843	22.145933
537	2009/03/21	08:42:35	Kudu	2				-32.246892	22.146197
538	2009/03/21	08:43:43	Kudu	2				-32.264287	22.158175
539	2009/03/21	08:43:52	Kudu	4		1		-32.267493	22.158968
540	2009/03/21	08:44:23	Kudu	4		2		-32.276567	22.161077
541	2009/03/21	08:44:58	Kudu	5				-32.286672	22.165525
542	2009/03/21	08:45:03	Kudu	1	1			-32.288097	22.166547
543	2009/03/21	08:45:41	Red Hartebeest	1				-32.298740	22.172677
544	2009/03/21	08:45:45	Kudu	1	1			-32.300020	22.173300
545	2009/03/21	08:49:07	Steenbok	1				-32.238187	22.147085
546	2009/03/21	08:52:11	Gemsbok	1				-32.251668	22.162030
547	2009/03/21	08:52:40	Red Hartebeest	25				-32.262817	22.169668
548	2009/03/21	08:52:45	Gemsbok	1				-32.264233	22.170218
549	2009/03/21	08:54:09	Springbok	1				-32.301775	22.184682
550	2009/03/21	08:54:13	Springbok	1				-32.303667	22.185237
551	2009/03/21	08:54:20	Springbok	1				-32.306945	22.186163
552	2009/03/21	08:54:25	Red Hartebeest	1				-32.309252	22.186867
553	2009/03/21	08:54:44	Springbok	1				-32.317890	22.191163
554	2009/03/21	08:55:28	Springbok	1				-32.303345	22.194960
555	2009/03/21	08:55:35	Gemsbok	1				-32.300200	22.193582
556	2009/03/21	08:55:52	Springbok	18				-32.293098	22.190493
557	2009/03/21	08:56:03	Red Hartebeest	1				-32.288178	22.188305
558	2009/03/21	08:56:27	Springbok	1				-32.277417	22.183270
559	2009/03/21	08:56:32	Ostrich	4				-32.275190	22.182227
560	2009/03/21	08:56:38	Red Hartebeest	1				-32.272572	22.180828
561	2009/03/21	08:56:42	Springbok	1				-32.270343	22.179600
562	2009/03/21	08:57:33	Gemsbok	1				-32.249233	22.168595
563	2009/03/21	08:58:56	Steenbok	2				-32.218007	22.143128
564	2009/03/21	09:01:06	Springbok	2				-32.242390	22.171200
565	2009/03/21	09:02:22	Ostrich	4	2			-32.277167	22.188237
566	2009/03/21	09:02:27	Red Hartebeest	1				-32.279437	22.189020
567	2009/03/21	09:03:03	Kudu	1				-32.294423	22.196145
568	2009/03/21	09:03:10	Kudu	2				-32.296952	22.197270
569	2009/03/21	09:04:06	Kudu	2		1		-32.320175	22.198975
570	2009/03/21	09:04:16	Eland	3	3			-32.324152	22.199560
571	2009/03/21	09:04:29	Kudu	1	1			-32.328757	22.200942
572	2009/03/21	09:05:25	Red Hartebeest	17				-32.323403	22.206417
573	2009/03/21	09:05:31	Eland	6				-32.321740	22.205663
574	2009/03/21	09:05:35	Springbok	1				-32.320400	22.205298
575	2009/03/21	09:06:21	Springbok	1				-32.300680	22.203485
576	2009/03/21	09:06:47	Gemsbok	1				-32.288958	22.199502
577	2009/03/21	09:07:06	Red Hartebeest	21				-32.281480	22.194848
578	2009/03/21	09:07:41	Red Hartebeest	1				-32.265688	22.188033
579	2009/03/21	09:07:48	Kudu	2				-32.262492	22.186698
580	2009/03/21	09:08:01	Ostrich	3				-32.256533	22.184412
581	2009/03/21	09:09:15	Red Hartebeest	1	1			-32.223455	22.167775
582	2009/03/21	09:10:02	Red Hartebeest	9				-32.232500	22.182378
583	2009/03/21	09:10:10	Red Hartebeest	1	1			-32.236518	22.184497
584	2009/03/21	09:10:32	Red Hartebeest	3				-32.246412	22.189447
585	2009/03/21	09:10:36	Springbok	1				-32.248745	22.190547
586	2009/03/21	09:10:49	Red Hartebeest	3				-32.254718	22.193302
587	2009/03/21	09:10:55	Gemsbok	1				-32.256993	22.194348
588	2009/03/21	09:11:03	Red Hartebeest	17				-32.261090	22.196193
589	2009/03/21	09:11:35	Gemsbok	7				-32.275860	22.201778
590	2009/03/21	09:11:42	Kudu	1				-32.278660	22.202748
591	2009/03/21	09:11:46	Red Hartebeest	2				-32.280535	22.203363
592	2009/03/21	09:11:50	Gemsbok	1				-32.282865	22.204102
593	2009/03/21	09:11:59	Springbok	1				-32.286997	22.205480
594	2009/03/21	09:12:03	Gemsbok	1				-32.288380	22.205875
595	2009/03/21	09:12:07	Red Hartebeest	1				-32.290678	22.206550
596	2009/03/21	09:12:11	Red Hartebeest	19				-32.292512	22.207107
597	2009/03/21	09:12:23	Kudu	1	1			-32.298123	22.208783
598	2009/03/21	09:12:55	Ostrich	18				-32.313130	22.213663
599	2009/03/21	09:13:40	Springbok	1				-32.334408	22.220572
600	2009/03/21	09:13:44	Springbok	1				-32.336330	22.221308
601	2009/03/21	09:13:50	Springbok	1				-32.338538	22.222633
602	2009/03/21	09:14:19	Springbok	1				-32.332827	22.231942
603	2009/03/21	09:14:45	Eland	4				-32.321642	22.227295
604	2009/03/21	09:15:07	Gemsbok	1				-32.312098	22.223350
605	2009/03/21	09:15:51	Burchells zebra	5		1		-32.291765	22.215463
606	2009/03/21	09:16:32	Gemsbok	4				-32.272612	22.208798
607	2009/03/21	09:16:36	Gemsbok	1				-32.270643	22.208113
608	2009/03/21	09:16:47	Gemsbok	1				-32.265818	22.206267
609	2009/03/21	09:17:12	 Mtn zebra	4				-32.254787	22.200532
610	2009/03/21	09:18:35	Gemsbok	43				-32.260883	22.203927
611	2009/03/21	09:18:49	Springbok	1				-32.257592	22.203115
612	2009/03/21	09:19:28	Steenbok	1				-32.243002	22.196485
613	2009/03/21	09:21:25	Red Hartebeest	1				-32.206610	22.187088
614	2009/03/21	09:22:44	Red Hartebeest	1	1			-32.232720	22.200245
615	2009/03/21	09:23:31	Springbok	7				-32.251667	22.208540
616	2009/03/21	09:23:53	Gemsbok	1				-32.261607	22.212897
617	2009/03/21	09:24:19	Kudu	3	1			-32.273935	22.217920
618	2009/03/21	09:24:59	Burchells zebra	6				-32.293267	22.225730
619	2009/03/21	09:25:04	 Mtn zebra	1				-32.295253	22.226538
620	2009/03/21	09:25:23	Red Hartebeest	22				-32.304783	22.230755
621	2009/03/21	09:25:46	Springbok	11				-32.315948	22.235770
622	2009/03/21	09:25:55	Springbok	7				-32.320215	22.237698
623	2009/03/21	09:26:07	Ostrich	13				-32.325978	22.239908
624	2009/03/21	09:26:12	Springbok	17				-32.328350	22.240992
625	2009/03/21	09:27:36	Springbok	1				-32.296598	22.234755
626	2009/03/21	09:27:45	Springbok	3				-32.292557	22.232695
627	2009/03/21	09:27:50	Springbok	2				-32.290255	22.231830
628	2009/03/21	09:28:06	 Mtn zebra	10				-32.282712	22.228422
629	2009/03/21	09:28:13	Springbok	1				-32.279710	22.226987
630	2009/03/21	09:28:24	Eland	1				-32.274515	22.224785
631	2009/03/21	09:28:29	Kudu	3	3			-32.272105	22.223727
632	2009/03/21	09:28:45	Kudu	1	1			-32.264913	22.220623
633	2009/03/21	09:29:07	Kudu	1	1			-32.254298	22.215828
634	2009/03/21	09:29:17	Springbok	2				-32.250273	22.214128
635	2009/03/21	09:29:55	Red Hartebeest	4				-32.232230	22.206538
636	2009/03/21	09:30:10	Red Hartebeest	1				-32.228225	22.209367
637	2009/03/21	09:33:47	Kudu	6				-32.242000	22.221983
638	2009/03/21	09:33:52	Red Hartebeest	4				-32.243757	22.222705
639	2009/03/21	09:35:08	Red Hartebeest	5		1		-32.254572	22.223350
640	2009/03/21	09:35:57	Gemsbok	1				-32.270362	22.234152
641	2009/03/21	09:36:12	Red Hartebeest	16				-32.277573	22.236342
642	2009/03/21	09:36:24	Kudu	4	4			-32.282253	22.238587
643	2009/03/21	09:37:21	Red Hartebeest	1				-32.307825	22.248728
644	2009/03/21	09:37:53	Eland	21				-32.300412	22.255603
645	2009/03/21	09:37:56	Gemsbok	1				-32.298613	22.255227
646	2009/03/21	09:38:44	Kudu	1	1			-32.277002	22.246105
647	2009/03/21	09:39:37	Springbok	1				-32.253670	22.235862
648	2009/03/21	09:40:02	Red Hartebeest	1				-32.242395	22.230640
649	2009/03/21	09:40:06	Springbok	1				-32.241063	22.230027
650	2009/03/21	09:40:12	Red Hartebeest	5				-32.238363	22.228760
651	2009/03/21	09:40:18	Ostrich	2				-32.235648	22.227460
652	2009/03/21	09:40:24	Red Hartebeest	8				-32.232503	22.225880
653	2009/03/21	09:40:28	Gemsbok	3				-32.230713	22.224968
654	2009/03/21	09:40:32	Gemsbok	1				-32.228940	22.224098
655	2009/03/21	09:40:38	Red Hartebeest	1				-32.226740	22.223060
656	2009/03/21	09:41:14	Gemsbok	3				-32.211092	22.216390
657	2009/03/21	09:41:22	Ostrich	1				-32.208215	22.215303
658	2009/03/21	09:42:07	Red Hartebeest	3				-32.212278	22.228360
659	2009/03/21	09:42:22	Red Hartebeest	6				-32.219887	22.231678
660	2009/03/21	09:42:48	Eland	1				-32.232658	22.236928
661	2009/03/21	09:42:53	Red Hartebeest	4				-32.235100	22.238007
662	2009/03/21	09:43:28	Kudu	5				-32.251617	22.245220
663	2009/03/21	09:43:34	Red Hartebeest	9				-32.253900	22.246203
664	2009/03/21	09:43:40	Kudu	4				-32.256602	22.247423
665	2009/03/21	09:43:43	Gemsbok	1				-32.258375	22.248277
666	2009/03/21	09:43:57	Red Hartebeest	16				-32.263862	22.251863
667	2009/03/21	09:44:17	Jackal	1				-32.272768	22.254962
668	2009/03/21	09:44:31	Kudu	3	9	1		-32.278158	22.256492
669	2009/03/21	09:44:35	Jackal	1				-32.280112	22.256968
670	2009/03/21	09:44:43	Gemsbok	1				-32.282735	22.257793
671	2009/03/21	09:45:13	Kudu	10	2			-32.290222	22.264983
672	2009/03/21	09:45:18	Red Hartebeest	5				-32.288622	22.266193
673	2009/03/21	09:45:23	Burchells zebra	3				-32.286452	22.265997
674	2009/03/21	09:45:51	Ostrich	1				-32.274923	22.262215
675	2009/03/21	09:46:20	Kudu	2	2			-32.261608	22.257128
676	2009/03/21	09:46:38	Kudu	3				-32.253057	22.253520
677	2009/03/21	09:46:42	Red Hartebeest	9		1		-32.250770	22.252360
678	2009/03/21	09:47:04	 Mtn zebra	3				-32.241418	22.247955
679	2009/03/21	09:47:11	Kudu	3	3			-32.237925	22.246418
680	2009/03/21	09:47:16	Red Hartebeest	1				-32.236157	22.245887
681	2009/03/21	09:47:23	Gemsbok	22				-32.232580	22.245038
682	2009/03/21	09:47:31	Red Hartebeest	2				-32.229237	22.243775
683	2009/03/21	09:47:42	Ostrich	8				-32.223392	22.241532
684	2009/03/21	09:48:00	Kudu	5		1		-32.215368	22.238308
685	2009/03/21	09:48:04	Red Hartebeest	1				-32.213032	22.237422
686	2009/03/21	09:48:19	Kudu	1	1			-32.206572	22.234868
687	2009/03/21	09:49:20	Red Hartebeest	4		1		-32.206138	22.245543
688	2009/03/21	09:49:24	Red Hartebeest	2				-32.208182	22.246338
689	2009/03/21	09:49:44	Ostrich	5				-32.218433	22.250222
690	2009/03/21	09:49:49	Red Hartebeest	4				-32.220942	22.251150
691	2009/03/21	09:49:55	Springbok	9				-32.223865	22.252242
692	2009/03/21	09:49:59	Red Hartebeest	8				-32.225810	22.252938
693	2009/03/21	09:50:06	 Mtn zebra	3				-32.228752	22.254008
694	2009/03/21	09:51:09	Gemsbok	33				-32.231857	22.252977
695	2009/03/21	09:51:40	Gemsbok	2				-32.245030	22.257180
696	2009/03/21	09:51:55	Kudu	1	1			-32.251230	22.258858
699	2009/03/21	09:52:19	Jackal	1				-32.261262	22.261040
700	2009/03/21	09:52:23	Red Hartebeest	2				-32.263508	22.261187
701	2009/03/21	09:53:09	Ostrich	2	2			-32.264457	22.266357
702	2009/03/21	09:54:45	Springbok	8				-32.218683	22.255822
703	2009/03/21	09:54:49	Gemsbok	1				-32.216720	22.255257
704	2009/03/21	09:54:53	Ostrich	5				-32.214252	22.254540
705	2009/03/21	09:55:09	Gemsbok	1				-32.206990	22.252510
706	2009/03/21	09:55:14	Red Hartebeest	6				-32.204625	22.251823
707	2009/03/21	09:55:36	Red Hartebeest	1				-32.194637	22.250950
708	2009/03/21	09:55:50	Kudu	2				-32.192767	22.257380
709	2009/03/21	09:56:52	Burchells zebra	4		1		-32.218362	22.267127
710	2009/03/21	09:57:01	Red Hartebeest	1				-32.222265	22.267732
711	2009/03/21	09:57:13	 Mtn zebra	3				-32.228295	22.268567
712	2009/03/21	09:58:14	Red Hartebeest	2				-32.256412	22.277158
713	2009/03/21	09:58:24	Gemsbok	1				-32.256043	22.282402
714	2009/03/21	09:58:42	Gemsbok	11				-32.247487	22.283733
715	2009/03/21	09:58:57	Red Hartebeest	1				-32.240802	22.281918
716	2009/03/21	09:59:08	 Mtn zebra	4		1		-32.235447	22.280988
717	2009/03/21	09:59:13	 Mtn zebra	1				-32.233030	22.280588
718	2009/03/21	09:59:17	Red Hartebeest	1				-32.230560	22.280122
719	2009/03/21	09:59:28	Gemsbok	2				-32.225675	22.279218
720	2009/03/21	09:59:37	Gemsbok	1				-32.223618	22.282037
721	2009/03/21	10:00:09	Gemsbok	3				-32.234593	22.289407
722	2009/03/21	10:00:18	Burchells zebra	3				-32.238368	22.291012
723	2009/03/21	10:00:22	Ostrich	2				-32.240097	22.291800
724	2009/03/21	10:00:28	Gemsbok	7		2		-32.242700	22.292980
725	2009/03/21	10:00:32	Ostrich	2				-32.244935	22.293813
726	2009/03/21	10:00:55	Red Hartebeest	1				-32.254623	22.297205
727	2009/03/21	10:01:30	Gemsbok	29		2		-32.253270	22.298512
728	2009/03/21	10:02:45	Gemsbok	2				-32.264865	22.301430
729	2009/03/21	10:02:50	Gemsbok	3				-32.266260	22.301160
730	2009/03/21	10:03:42	Gemsbok	85		25		-32.266607	22.303630
731	2009/03/21	10:03:53	Gemsbok	16				-32.263517	22.301793
732	2009/03/21	10:09:05	 Mtn zebra	4				-32.169877	22.273377
733	2009/03/21	10:09:17	Kudu	3		1		-32.168900	22.279317
734	2009/03/21	10:09:24	Gemsbok	1				-32.168478	22.281903
735	2009/03/21	10:09:44	Red Hartebeest	1	1			-32.166900	22.291647
736	2009/03/21	10:10:00	 Mtn zebra	4				-32.170583	22.295978
737	2009/03/21	10:10:06	 Mtn zebra	2				-32.172733	22.294630
738	2009/03/21	10:10:19	Springbok	1				-32.174908	22.288570
739	2009/03/21	10:10:24	Gemsbok	3				-32.175488	22.286018
740	2009/03/21	10:10:35	Red Hartebeest	1	1			-32.176858	22.280612
741	2009/03/21	10:10:40	Burchells zebra	3				-32.177543	22.278230
742	2009/03/21	10:10:45	Red Hartebeest	20		1		-32.178288	22.275940
743	2009/03/21	10:10:52	 Mtn zebra	2				-32.179155	22.272635
744	2009/03/21	10:11:49	Ostrich	4				-32.180528	22.288427
745	2009/03/21	10:12:44	Gemsbok	4		1		-32.170612	22.314348
746	2009/03/21	10:13:21	Gemsbok	4				-32.179140	22.315295
747	2009/03/21	10:13:28	Gemsbok	10				-32.180602	22.311925
748	2009/03/21	10:13:33	Kudu	1				-32.181538	22.309460
749	2009/03/21	10:13:37	Gemsbok	1				-32.181972	22.307507
750	2009/03/21	10:13:57	Gemsbok	27				-32.181230	22.299708
751	2009/03/21	10:14:02	Gemsbok	8				-32.179678	22.300007
752	2009/03/21	10:14:54	Red Hartebeest	5				-32.188582	22.290107
753	2009/03/21	10:15:09	Red Hartebeest	2				-32.190902	22.283432
756	2009/03/21	10:15:32	Gemsbok	17				-32.198267	22.277707
757	2009/03/21	10:15:35	Red Hartebeest	1				-32.199523	22.279337
758	2009/03/21	10:15:42	Gemsbok	4				-32.199963	22.282405
759	2009/03/21	10:15:56	Red Hartebeest	3				-32.196975	22.289287
760	2009/03/21	10:16:33	Gemsbok	1				-32.189440	22.306505
761	2009/03/21	10:16:44	Gemsbok	3				-32.187125	22.311278
762	2009/03/21	10:16:47	Gemsbok	1				-32.186167	22.313227
763	2009/03/21	10:17:28	Gemsbok	34				-32.186385	22.315650
764	2009/03/21	10:17:34	Red Hartebeest	14				-32.185187	22.315137
765	2009/03/21	10:17:47	Gemsbok	4				-32.182463	22.318080
766	2009/03/21	10:18:20	Kudu	4				-32.178763	22.329430
767	2009/03/21	10:18:41	 Mtn zebra	1				-32.185578	22.325563
768	2009/03/21	10:18:44	Kudu	1				-32.186868	22.324245
769	2009/03/21	10:18:49	Gemsbok	2				-32.188310	22.322378
770	2009/03/21	10:19:01	Gemsbok	3				-32.190867	22.317492
771	2009/03/21	10:19:05	Eland	1				-32.191842	22.315713
772	2009/03/21	10:19:21	Kudu	16				-32.195662	22.308497
773	2009/03/21	10:19:28	Gemsbok	6				-32.197368	22.305438
774	2009/03/21	10:19:33	Gemsbok	1				-32.198782	22.302728
775	2009/03/21	10:19:38	Red Hartebeest	6				-32.199982	22.300437
776	2009/03/21	10:19:44	Kudu	3	2			-32.201165	22.298137
777	2009/03/21	10:19:51	Gemsbok	1				-32.202778	22.294928
778	2009/03/21	10:20:17	Kudu	2				-32.208548	22.283025
779	2009/03/21	10:21:13	Kudu	1	1			-32.214798	22.288347
780	2009/03/21	10:21:18	Red Hartebeest	15				-32.213400	22.290888
781	2009/03/21	10:21:24	 Mtn zebra	3				-32.211973	22.293538
782	2009/03/21	10:22:21	Eland	1				-32.198098	22.318737
783	2009/03/21	10:22:28	Red Hartebeest	1	1			-32.196187	22.322250
784	2009/03/21	10:22:40	Gemsbok	36				-32.193582	22.327173
785	2009/03/21	10:22:46	Gemsbok	3				-32.192265	22.329895
786	2009/03/21	10:22:57	Gemsbok	12				-32.193972	22.332633
787	2009/03/21	10:23:09	Gemsbok	3				-32.196512	22.329342
788	2009/03/21	10:23:17	Red Hartebeest	3		1		-32.198718	22.326518
789	2009/03/21	10:23:41	Red Hartebeest	9				-32.205640	22.316117
790	2009/03/21	10:23:48	 Mtn zebra	2				-32.207437	22.313570
791	2009/03/21	10:23:53	Gemsbok	4				-32.208810	22.311318
792	2009/03/21	10:23:59	Gemsbok	2		1		-32.210522	22.308643
793	2009/03/21	10:24:11	Kudu	1				-32.214390	22.302858
794	2009/03/21	10:24:16	Red Hartebeest	10		2		-32.215600	22.301143
795	2009/03/21	10:24:28	Gemsbok	8				-32.219155	22.295987
796	2009/03/21	10:25:10	Burchells zebra	2				-32.231158	22.294918
797	2009/03/21	10:25:25	Gemsbok	1				-32.226835	22.301750
798	2009/03/21	10:25:33	Gemsbok	5				-32.224160	22.305118
799	2009/03/21	10:25:55	Gemsbok	1				-32.216740	22.314092
