SURVEY	YEAR	MONTH	DATE	SITE	BLOCK	TREATMENT	PLOT	REBAR	NIGHT	SPECIES	CAPTURE	SEX	CONDITION	AGE	LEFT_HIND_FOOT	LEFT_TAG	ORIGINAL_TAG	ID	MARKS	WEIGHT	notes
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	3F	4	Gero	R					DL04/B1 469	DL04/B1 469	598	0		
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	4C	4	Gero	C	m	S	A		DL14/DL48	DL14/DL48	1471	0	72	
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	5G	4	Gero	C	m	S	A		x3335/x3342	x3335/x3342	643	0	102	
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	6C	4	Gero	R					DL34/x3315	DL34/x3315	607	0		
1	2009	May	16-May-09	CENTRAL	1	TOTAL	C1TOTAL	6G	4	Elru	C	m	S	A		B1 424/x3327	B1 424/x3327	441	0	42	
1	2009	May	13-May-09	CENTRAL	2	OPEN	C2OPEN	6C	1	Elru	C	m	N	A		x3205/x3300	x3205/x3300	490	0	53	
1	2009	May	15-May-09	CENTRAL	2	OPEN	C2OPEN	7F	3	Gero	C	m	N	J		B1 405/B1 488	B1 405/B1 488	530	0	54	
1	2009	May	16-May-09	CENTRAL	2	OPEN	C2OPEN	2A	4	Gero	C	m	S	A		x3369/x3334	x3369/x3334	651	0	102	
1	2009	May	16-May-09	CENTRAL	2	OPEN	C2OPEN	6A	4	UMus	C	m	N	J				795	1	4.2	
1	2009	May	16-May-09	CENTRAL	2	OPEN	C2OPEN	6C	4	Gero	C	m	S	A		x3332/B1 459	x3332/B1 459	1484	0	76	
1	2009	May	16-May-09	CENTRAL	2	OPEN	C2OPEN	7C	4	Gero	R					B1 405/B1 488	B1 405/B1 488	530	0		
1	2009	May	13-May-09	CENTRAL	2	TOTAL	C2TOTAL	3E	1	Gero	C	f	N	A		B1 411/x3304	B1 411/x3304	1458	0	73	
1	2009	May	13-May-09	CENTRAL	2	TOTAL	C2TOTAL	4E	1	Gero	C	m	S	A		B1 466/B1 465	B1 466/B1 465	1461	0	77	
1	2009	May	13-May-09	CENTRAL	2	TOTAL	C2TOTAL	6A	1	Gero	C	m	N	J		B1 418/x3307	B1 418/x3307	438	0	36	
1	2009	May	14-May-09	CENTRAL	2	TOTAL	C2TOTAL	1D	2	Gero	C	m	S	A		DL16/DL15	DL16/DL15	603	0	100	
1	2009	May	14-May-09	CENTRAL	2	TOTAL	C2TOTAL	4D	2	Gero	C	f	N	A		DL92/x3306	DL92/x3306	1477	0	75	
1	2009	May	14-May-09	CENTRAL	2	TOTAL	C2TOTAL	5G	2	Gero	R					B1 466/B1 465	B1 466/B1 465	1461	0		
1	2009	May	14-May-09	CENTRAL	2	TOTAL	C2TOTAL	6A	2	Gero	R					B1 411/x3304	B1 411/x3304	1458	0		
1	2009	May	15-May-09	CENTRAL	2	TOTAL	C2TOTAL	1A	3	Gero	C	m	S	A		B1 461/DL42	B1 461/DL42	534	0	93	Cold
1	2009	May	15-May-09	CENTRAL	2	TOTAL	C2TOTAL	1C	3	Same	C	m	S	A		x3328/B1 460	x3328/B1 460	1380	0	56	
1	2009	May	15-May-09	CENTRAL	2	TOTAL	C2TOTAL	3G	3	Gero	R								0		Cold
1	2009	May	15-May-09	CENTRAL	2	TOTAL	C2TOTAL	5E	3	Gero	R					B1 466/B1 465	B1 466/B1 465	1461	0		
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	1D	4	Same	R					x3328/B1 460	x3328/B1 460	1380	0		
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	1E	4	Gero	C	m	S	A		DL38/DL08	DL38/DL08	608	0	95	
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	1G	4	Gero	R					DL16/DL15	DL16/DL15	603	0		
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	2E	4	UMus	C	f	N	A				796	1	4.9	
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	6A	4	Gero	C	m	S	A		x3393/DL46	x3393/DL46	653	0	85	
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	7A	4	Gero	R					B1 411/x3304	B1 411/x3304	1458	0		
1	2009	May	16-May-09	CENTRAL	2	TOTAL	C2TOTAL	7C	4	Gero	R					B1 466/B1 465	B1 466/B1 465	1461	0		
1	2009	May	13-May-09	CENTRAL	3	OPEN	C3OPEN	1D	1	Gero	C	m	S	A		x3253/x3260	x3253/x3260	636	0	98	
1	2009	May	13-May-09	CENTRAL	3	OPEN	C3OPEN	6A	1	Gero	C	m	N	J		x3236/x3235	x3236/x3235	635	0	37	
1	2009	May	14-May-09	CENTRAL	3	OPEN	C3OPEN	1C	2	Gero	R					x3253/x3260	x3253/x3260	636	0		
1	2009	May	15-May-09	CENTRAL	3	OPEN	C3OPEN	2F	3	Gero	R					x3253/x3260	x3253/x3260	636	0		
1	2009	May	16-May-09	CENTRAL	3	OPEN	C3OPEN	2E	4	Acke	C	f	N	A				13	1	28	
1	2009	May	16-May-09	CENTRAL	3	OPEN	C3OPEN	2G	4	Gero	R					x3253/x3260	x3253/x3260	636	0		
1	2009	May	16-May-09	CENTRAL	3	OPEN	C3OPEN	6G	4	Acke	C	m	S	A				14	1	28	
1	2009	May	13-May-09	CENTRAL	3	TOTAL	C3TOTAL	1G	1	Gero	C	f	N	A		x3199/x3258	x3199/x3258	634	0	94	
1	2009	May	13-May-09	CENTRAL	3	TOTAL	C3TOTAL	3D	1	Gero	C	f	N	A		x3275/x3267	x3275/x3267	1481	0	69.5	
1	2009	May	13-May-09	CENTRAL	3	TOTAL	C3TOTAL	3F	1	Gero	C	f	N	A		x3391/x3382	x3391/x3382	1486	0	78.5	
1	2009	May	13-May-09	CENTRAL	3	TOTAL	C3TOTAL	6E	1	Gero	C	m	S	A		x3383/x3252	x3383/x3252	652	0	94	
1	2009	May	13-May-09	CENTRAL	3	TOTAL	C3TOTAL	7A	1	Acke	C	m	S	A				8	1	26	
1	2009	May	13-May-09	CENTRAL	3	TOTAL	C3TOTAL	7D	1	Acke	C	m	S	A				9	1	30	
1	2009	May	14-May-09	CENTRAL	3	TOTAL	C3TOTAL	5B	2	Acke	C	f	N	A				10	1	28	
1	2009	May	14-May-09	CENTRAL	3	TOTAL	C3TOTAL	6A	2	Gero	R					x3275/x3267	x3275/x3267	1481	0		
1	2009	May	14-May-09	CENTRAL	3	TOTAL	C3TOTAL	7A	2	Acke	C	m	S	A				11	1	25	
1	2009	May	14-May-09	CENTRAL	3	TOTAL	C3TOTAL	7B	2	Gero	C	m	S	A		DL07/DL24	DL07/DL24	600	0	86	Cold
1	2009	May	14-May-09	CENTRAL	3	TOTAL	C3TOTAL	7G	2	Gero	R					x3236/x3235	x3236/x3235	635	0		
1	2009	May	15-May-09	CENTRAL	3	TOTAL	C3TOTAL	2A	3	Acke	C	f	N	A				12	1	30	
1	2009	May	15-May-09	CENTRAL	3	TOTAL	C3TOTAL	3E	3	Gero	R					x3391/x3382	x3391/x3382	1486	0		
1	2009	May	15-May-09	CENTRAL	3	TOTAL	C3TOTAL	5D	3	Gero	R					x3275/x3267	x3275/x3267	1481	0		
1	2009	May	15-May-09	CENTRAL	3	TOTAL	C3TOTAL	6F	3	Gero	R					x3383/x3252	x3383/x3252	652	0		
1	2009	May	15-May-09	CENTRAL	3	TOTAL	C3TOTAL	7A	3	Gero	R					DL07/DL24	DL07/DL24	600	0		Escaped
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	1B	4	Gero	C	f	N	J		DL17/DL36	DL17/DL36	604	0	38	
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	1D	4	Gero	R					x3275/x3267	x3275/x3267	1481	0		
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	1E	4	Gero	R					x3391/x3382	x3391/x3382	1486	0		
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	1F	4	Gero	R					x3199/x3258	x3199/x3258	634	0		
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	2E	4	Acke	C	f	N	A				15	1	26	
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	4C	4	Acke	C	m	S	A				17	1	29	
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	6A	4	Gero	R					DL07/DL24	DL07/DL24	600	0		
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	7C	4	Acke	C	f	P	A				16	1	27	
1	2009	May	16-May-09	CENTRAL	3	TOTAL	C3TOTAL	7G	4	Gero	R					x3383/x3252	x3383/x3252	652	0		Cold
1	2009	May	19-May-09	NORTH	1	OPEN	N1OPEN	3E	1	Gero	C	m	N	J		B1 574/B1 575	B1 574/B1 575	1465	0	63	
1	2009	May	19-May-09	NORTH	1	OPEN	N1OPEN	5B	1	Gero	C	m	S	A		B1 599/B1 600	B1 599/B1 600	557	0	83	
1	2009	May	20-May-09	NORTH	1	OPEN	N1OPEN	1F	2	Gero	R					B1 574/B1 575	B1 574/B1 575	1465	0		
1	2009	May	20-May-09	NORTH	1	OPEN	N1OPEN	4B	2	Gero	R					B1 599/B1 600	B1 599/B1 600	557	0		
1	2009	May	21-May-09	NORTH	1	OPEN	N1OPEN	1G	3	Gero	R					B1 574/B1 575	B1 574/B1 575	1465	0		
1	2009	May	22-May-09	NORTH	1	OPEN	N1OPEN	3D	4	Gero	R					B1 574/B1 575	B1 574/B1 575	1465	0		Dead
1	2009	May	22-May-09	NORTH	1	OPEN	N1OPEN	3G	4	Taha	C	m	S	J		DL 78/DL 93	DL 78/DL 93	1440	0	43	
1	2009	May	22-May-09	NORTH	1	OPEN	N1OPEN	6D	4	Gero	R					B1 599/B1 600	B1 599/B1 600	557	0		
1	2009	May	19-May-09	NORTH	1	TOTAL	N1TOTAL	5F	1	UMus	C	f	P	A				775	1	5.5	
1	2009	May	20-May-09	NORTH	1	TOTAL	N1TOTAL	4B	2	UMus	C	m	S	A				779	1	5.4	
1	2009	May	20-May-09	NORTH	1	TOTAL	N1TOTAL	5D	2	UMus	C	f	N	A				777	1	6.7	
1	2009	May	21-May-09	NORTH	1	TOTAL	N1TOTAL	5D	3	UMus	C	m	N	A				781	1	4.8	
1	2009	May	22-May-09	NORTH	1	TOTAL	N1TOTAL	1B	4	UMus	C	f	N	A				786	1	4.8	
1	2009	May	22-May-09	NORTH	1	TOTAL	N1TOTAL	1B	4	UMus	C	m	N	A				787	1	4.3	Cold
1	2009	May	22-May-09	NORTH	1	TOTAL	N1TOTAL	5F	4	UMus	C	m	N	A				788	1	4.6	
1	2009	May	19-May-09	NORTH	2	OPEN	N2OPEN	3E	1	Aehi	C	m	N	J		B1 569/B1 568	B1 569/B1 568	259	0	31	
1	2009	May	20-May-09	NORTH	2	OPEN	N2OPEN	2E	2	Aehi	R					B1 569/B1 568	B1 569/B1 568	259	0		
1	2009	May	20-May-09	NORTH	2	OPEN	N2OPEN	7A	2	Gero	C	m	S	A		B1 561/B1 560	B1 561/B1 560	548	0	106	
1	2009	May	21-May-09	NORTH	2	OPEN	N2OPEN		3												Caught nothing
1	2009	May	22-May-09	NORTH	2	OPEN	N2OPEN	5E	4	UMus	C	m	N	A				784	1		Dead
1	2009	May	19-May-09	NORTH	2	TOTAL	N2TOTAL	3A	1	Gero	C	m	N	A		B1 573/B1 572	B1 573/B1 572	1465	0	73	
1	2009	May	19-May-09	NORTH	2	TOTAL	N2TOTAL	3B	1	Elru	C	m	N	A		B1 571/B1 570	B1 571/B1 570	451	0	63	Dead
1	2009	May	20-May-09	NORTH	2	TOTAL	N2TOTAL	3A	2	Elru	C	f	P	A		B1 563/B1 562	B1 563/B1 562	450	0	76	
1	2009	May	20-May-09	NORTH	2	TOTAL	N2TOTAL	3E	2	UMus	C	f	N	A				776	1	5.7	
1	2009	May	20-May-09	NORTH	2	TOTAL	N2TOTAL	4C	2	Gero	R					B1 573/B1 572	B1 573/B1 572	1465	0		
1	2009	May	20-May-09	NORTH	2	TOTAL	N2TOTAL	5D	2	UMus	C	m	N	A				778	1	6.4	
1	2009	May	20-May-09	NORTH	2	TOTAL	N2TOTAL	6E	2	Gero	C	m	S	A		B1 565/B1 564	B1 565/B1 564	549	0	102	
1	2009	May	21-May-09	NORTH	2	TOTAL	N2TOTAL	3C	3	Gero	R					B1 565/B1 564	B1 565/B1 564	549	0		
1	2009	May	21-May-09	NORTH	2	TOTAL	N2TOTAL	4A	3	Gero	R					B1 573/B1 572	B1 573/B1 572	1465	0		Cold
1	2009	May	21-May-09	NORTH	2	TOTAL	N2TOTAL	4D	3	UMus	C	m	N	J				783	1	3.6	
1	2009	May	22-May-09	NORTH	2	TOTAL	N2TOTAL	2C	4	Elru	C	m	N	J		DL 06/DL 94	DL 06/DL 94	481	0	22	
1	2009	May	22-May-09	NORTH	2	TOTAL	N2TOTAL	4C	4	Gero	R					B1 565/B1 564	B1 565/B1 564	549	0		Cold
1	2009	May	22-May-09	NORTH	2	TOTAL	N2TOTAL	4D	4	UMus	C	m	N	A				789	1	4.8	
1	2009	May	22-May-09	NORTH	2	TOTAL	N2TOTAL	4D	4	UMus	C			J					1		Escaped
1	2009	May	22-May-09	NORTH	2	TOTAL	N2TOTAL	5C	4	Gero	R					B1 573/B1 572	B1 573/B1 572	1465	0		
1	2009	May	22-May-09	NORTH	3	OPEN	N3OPEN	1F	4	Taha	C	m	S	J		B1 493/B1 499	B1 493/B1 499	1429	0	47	
1	2009	May	22-May-09	NORTH	3	OPEN	N3OPEN	4E	4	UMus	C	m	S	A				785	1	5.5	
1	2009	May	19-May-09	NORTH	3	TOTAL	N3TOTAL	6C	1	Gero	C	m	S	A		B1 567/B1 566	B1 567/B1 566	1464	0	65	
1	2009	May	20-May-09	NORTH	3	TOTAL	N3TOTAL	1F	2	Gero	C	f	N	J		B1 559/ B1 558	B1 559/ B1 558	547	0	39	
1	2009	May	21-May-09	NORTH	3	TOTAL	N3TOTAL	1C	3	Taha	C	m	S	A		x3340/DL50	x3340/DL50	1446	0	46	
1	2009	May	21-May-09	NORTH	3	TOTAL	N3TOTAL	1F	3	Gero	R					B1 559/ B1 558	B1 559/ B1 558	547	0		
1	2009	May	21-May-09	NORTH	3	TOTAL	N3TOTAL	2C	3	UMus	C	m	N	A				782	1	5.1	
1	2009	May	21-May-09	NORTH	3	TOTAL	N3TOTAL	6C	3	Gero	C	m	S	A		x3329/B1 422	x3329/B1 422	641	0	95	
1	2009	May	21-May-09	NORTH	3	TOTAL	N3TOTAL	6D	3	UMus	C			A				780	1	5.3	
1	2009	May	22-May-09	NORTH	3	TOTAL	N3TOTAL	1B	4	Taha	R					x3340/DL50	x3340/DL50	1446	0		
1	2009	May	22-May-09	NORTH	3	TOTAL	N3TOTAL	2F	4	Gero	R					x3329/B1 422	x3329/B1 422	641	0		
1	2009	May	22-May-09	NORTH	3	TOTAL	N3TOTAL	6B	4	Gero	R					B1 559/ B1 558	B1 559/ B1 558	547	0		Cold
1	2009	May	22-May-09	NORTH	3	TOTAL	N3TOTAL	7D	4	UMus	C	m	N	A				790	1	6.7	
1	2009	May	6-May-09	SOUTH	1	OPEN	S1OPEN	1E	2	Gero	C	m	N	J		DL53/x3389	DL53/x3389	610	0	81	
1	2009	May	7-May-09	SOUTH	1	OPEN	S1OPEN	1F	3	Gero	R					DL53/x3389	DL53/x3389	610	0		
1	2009	May	8-May-09	SOUTH	1	OPEN	S1OPEN	1A	4	Gero	C	m	N	A		DL73/x3377	DL73/x3377	1474	0	69	
1	2009	May	8-May-09	SOUTH	1	OPEN	S1OPEN	3G	4	Gero	R					DL53/x3389	DL53/x3389	610	0		Cold
1	2009	May	8-May-09	SOUTH	1	OPEN	S1OPEN	6G	4	Gero	C	m	S	A		DL47/x3388	DL47/x3388	638	0	102	
1	2009	May	5-May-09	SOUTH	1	TOTAL	S1TOTAL	2B	1	Aehi	C	m	N	A		x3287/x3320	x3287/x3320	312	0	66	
1	2009	May	5-May-09	SOUTH	1	TOTAL	S1TOTAL	3A	1	Aehi	C	f	N	A		x3149/x3201	x3149/x3201	311	0	78	
1	2009	May	6-May-09	SOUTH	1	TOTAL	S1TOTAL	2A	2	Aehi	C	m	N	J		x3358/DL68	x3358/DL68	321	0	63	
1	2009	May	6-May-09	SOUTH	1	TOTAL	S1TOTAL	2B	2	Aehi	R					x3149/x3201	x3149/x3201	311	0		Cold
1	2009	May	6-May-09	SOUTH	1	TOTAL	S1TOTAL	2C	2	Aehi	R					x3287/x3320	x3287/x3320	312	0		
1	2009	May	6-May-09	SOUTH	1	TOTAL	S1TOTAL	3D	2	UMus	C	f	P	A				798	1	94	
1	2009	May	7-May-09	SOUTH	1	TOTAL	S1TOTAL	1G	3	Aehi	C	m	S	A		DL35/DL69	DL35/DL69	306	0	130	
1	2009	May	7-May-09	SOUTH	1	TOTAL	S1TOTAL	2A	3	Aehi	R					x3287/x3320	x3287/x3320	312	0		Cold
1	2009	May	7-May-09	SOUTH	1	TOTAL	S1TOTAL	2B	3	Aehi	R					x3358/DL68	x3358/DL68	321	0		
1	2009	May	7-May-09	SOUTH	1	TOTAL	S1TOTAL	4A	3	Aehi	C	m	N	A		DL59/DL56	DL59/DL56	309	0	64	
1	2009	May	7-May-09	SOUTH	1	TOTAL	S1TOTAL	6C	3	UArvi	C	m	S	A		DL37/DL41	DL37/DL41	369	0	70	
1	2009	May	7-May-09	SOUTH	1	TOTAL	S1TOTAL	6G	3	Gero	C	f	N	A		DL71/	DL71/x3517	613	0	140	Left tag only
1	2009	May	8-May-09	SOUTH	1	TOTAL	S1TOTAL	6D	4	Same	C								0		Escaped
1	2009	May	5-May-09	SOUTH	2	OPEN	S2OPEN	3D	1	Elru	C	f	N	A		x3398/x3380	x3398/x3380	492	0	54	
1	2009	May	6-May-09	SOUTH	2	OPEN	S2OPEN	3D	2	Elru	C	f	N	A		DL33/xDL61	DL33/xDL61	484	0	53	
1	2009	May	7-May-09	SOUTH	2	OPEN	S2OPEN	2E	3	Elru	C	f	P	A		DL79/DL57	DL79/DL57	487	0		
1	2009	May	8-May-09	SOUTH	2	OPEN	S2OPEN	2E	4	Gero	C	m	N	J		DL80/B1 457	DL80/B1 457	616	0	49	Cold
1	2009	May	5-May-09	SOUTH	2	TOTAL	S2TOTAL	1G	1	UMus	C	m	N	J				797	1	4	
1	2009	May	7-May-09	SOUTH	2	TOTAL	S2TOTAL	1D	3	Acke	C	m	S	A		x3303/	x3303/	2	0	30	Left tag only
1	2009	May	7-May-09	SOUTH	2	TOTAL	S2TOTAL	1G	3	Gero	C	f	P	A		x3354//DL58	x3354//DL58	647	0	95	
1	2009	May	7-May-09	SOUTH	3	OPEN	S3OPEN	1G	3	Same	C	m	S	A		B1 425/x3378	B 1425/x3378	1374	0	51	
1	2009	May	6-May-09	SOUTH	3	TOTAL	S3TOTAL	1D	2	Same	C	f	N	A		x3313/x3281	x3313/x3281	2818	0	52	
1	2009	May	6-May-09	SOUTH	3	TOTAL	S3TOTAL	1E	2	Elru	C	f	N	A		x3394/DL30	x3394/DL30	491	0	58	
1	2009	May	6-May-09	SOUTH	3	TOTAL	S3TOTAL	1F	2	Acke	C								1		Escaped
1	2009	May	7-May-09	SOUTH	3	TOTAL	S3TOTAL	1E	3	Elru	C	m	N	A		DL67/B1483	DL67/B1483	485	0	60	
1	2009	May	7-May-09	SOUTH	3	TOTAL	S3TOTAL	2B	3	Acke	C	m	S	A					1	25	Dead
1	2009	May	7-May-09	SOUTH	3	TOTAL	S3TOTAL	2D	3	Acke	C	f	N	A				4	1	25	
1	2009	May	7-May-09	SOUTH	3	TOTAL	S3TOTAL	3G	3	Same	C	m	S	A		DL72/x3386	DL72/x3386	1375	0	55	
1	2009	May	7-May-09	SOUTH	3	TOTAL	S3TOTAL	6D	3	Gero	C	f	N	A		DL05/DL02	DL05/DL02	599	0	79	
1	2009	May	9-May-09	SOUTH	3	TOTAL	S3TOTAL	1B	4	UMus	C	m	S	J				792	1	5.5	
1	2009	May	8-May-09	SOUTH	3	TOTAL	S3TOTAL	1C	4	Acke	C	f	N	A				6	1	17	
1	2009	May	9-May-09	SOUTH	3	TOTAL	S3TOTAL	1C	4	Acke	C	f	N	A				7	1	23	Cold
1	2009	May	8-May-09	SOUTH	3	TOTAL	S3TOTAL	1D	4	Elru	R					DL67/B1483	DL67/B1483	485	0		
1	2009	May	9-May-09	SOUTH	3	TOTAL	S3TOTAL	1D	4	Gero	C	f	N	A		B1 405/DL96	B1405/DL96	597	0	78	
1	2009	May	9-May-09	SOUTH	3	TOTAL	S3TOTAL	4F	4	Same	R					DL72/x3386	DL72/x3386	1375	0		Cold
2	2009	July	19-Jul-09	CENTRAL	1	OPEN	C1OPEN	1E	1	Gero	R	f	N	A		x3286/x3368	x3286/x3368	637	0	90	
2	2009	July	19-Jul-09	CENTRAL	1	OPEN	C1OPEN	2A	1	Gero	C	m	S	A		DL74/x3387	DL74/x3387	1475	0	69	
2	2009	July	19-Jul-09	CENTRAL	1	OPEN	C1OPEN	7A	1	Gero	R	m	S	A		DL34/x3315	DL34/x3315	607	0	87	
2	2009	July	19-Jul-09	CENTRAL	1	OPEN	C1OPEN	7G	1	Elru	C	m	N	A		B1 421/DL18	B1 421/DL18	440	0	60	
2	2009	July	19-Jul-09	CENTRAL	1	OPEN	C1OPEN	2C	1	Acke	C	m	N	A				28	1	21	
2	2009	July	20-Jul-09	CENTRAL	1	OPEN	C1OPEN	4C	2	Gero	R					DL74/x3387	DL74/x3387	1475	0		
2	2009	July	20-Jul-09	CENTRAL	1	OPEN	C1OPEN	4F	2	Acke	C	f	N	A				31	1	23	
2	2009	July	20-Jul-09	CENTRAL	1	OPEN	C1OPEN	7A	2	Gero	C	f	N	A		DL10/B1 477	DL10/B1 477	1	0	76	
2	2009	July	21-Jul-09	CENTRAL	1	OPEN	C1OPEN	1B	3	Gero	R					DL74/x3387	DL74/x3387	1475	0		
2	2009	July	21-Jul-09	CENTRAL	1	OPEN	C1OPEN	2E	3	Acke	R								1		
2	2009	July	22-Jul-09	CENTRAL	1	OPEN	C1OPEN	1A	4	Gero	R					DL74/x3387	DL74/x3387	1475	0		
2	2009	July	22-Jul-09	CENTRAL	1	OPEN	C1OPEN	5D	4	UMus	C	m	N	A				823	1	5.5	
2	2009	July	22-Jul-09	CENTRAL	1	OPEN	C1OPEN	6B	4	Gero	R					/B1 477	DL10/B1 477	1	0		Left tag lost
2	2009	July	22-Jul-09	CENTRAL	1	OPEN	C1OPEN	6D	4	Acke	C							33	1		
2	2009	July	19-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	2F	1	Aehi	R	m	S	A		DL81/DL20	DL81/DL20	310	0	120	
2	2009	July	19-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	5G	1	Gero	C	m	S	A		x3339/DL19	x3339/DL19	645	0	96	
2	2009	July	19-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	7G	1	Gero	C	f	N	A		B1 416/DL82	B1 416/DL82	1460	0	78	
2	2009	July	20-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	5A	2	Gero	R					DL34/x3315	DL34/x3315	607	0		Dead
2	2009	July	20-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	5G	2	Same	C	m	N	A		B1 481/DL52	B1 481/DL52	1333	0		Escaped
2	2009	July	20-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	7G	2	Gero	R					x3339/DL19	x3339/DL19	645	0		
2	2009	July	21-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	2C	3	Gero	R	m	S	A		DL04/B1 469	DL04/B1 469	598	0	89	
2	2009	July	21-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	2F	3	Aehi	R					DL81/DL20	DL81/DL20	310	0		
2	2009	July	21-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	5E	3	Gero	R					x3339/DL19	x3339/DL19	645	0		
2	2009	July	21-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	5F	3	Gero	C	m	S	A		B1 498/DL88	B1 498/DL88	1463	0	75	
2	2009	July	22-Jul-09	CENTRAL	1	TOTAL	C1TOTAL	1D	4	Gero	R	m	S	A		DL04/B1 469	DL04/B1 469	598	0	83	
